Date,Close
2/1/19,49.89
2/4/19,50.85
2/5/19,50.15
2/6/19,51.14
2/7/19,50.05
2/8/19,50.22
2/11/19,50.1
2/12/19,49.71
2/13/19,50.98
2/14/19,50.83
2/15/19,51.67
2/19/19,51.36
2/20/19,51.3
2/21/19,50.13
2/22/19,50.98
2/25/19,50.65
2/26/19,50.16
2/27/19,50.96
2/28/19,51.66
3/1/19,53.22
3/4/19,53.05
3/5/19,53.8
3/6/19,52.89
3/7/19,51.51
3/8/19,51.39
3/11/19,50.9
3/12/19,50.38
3/13/19,50.97
3/14/19,49.89
3/15/19,49.96
3/18/19,49.86
3/19/19,49.6
3/20/19,49.19
3/21/19,48.92
3/22/19,48.16
3/25/19,47.49
3/26/19,48.34
3/27/19,47.98
3/28/19,47.84
3/29/19,47.71
4/1/19,47.09
4/2/19,46.7
4/3/19,46.88
4/4/19,46.67
4/5/19,46.64
4/8/19,46.79
4/9/19,45.98
4/10/19,45.89
4/11/19,46.09
4/12/19,45.57
4/15/19,46.5
4/16/19,46.02
4/17/19,45.8
4/18/19,45.52
4/22/19,45.24
4/23/19,45.32
4/24/19,44.62
4/25/19,45.64
4/26/19,45.89
4/29/19,46.32
4/30/19,46.43
5/1/19,46.58
5/2/19,46.88
5/3/19,48.62
5/6/19,48.1
5/7/19,47.22
5/8/19,47.45
5/9/19,47.23
5/10/19,47.01
5/13/19,45.9
5/14/19,45.91
5/15/19,46.63
5/16/19,47.12
5/17/19,46.85
5/20/19,46.31
5/21/19,47.43
5/22/19,47.74
5/23/19,47.3
5/24/19,46.81
5/28/19,45.86
5/29/19,45.38
5/30/19,45.88
5/31/19,45.37
6/3/19,46.12
6/4/19,46.63
6/5/19,46.63
6/6/19,46.15
6/7/19,46.75
6/10/19,46.01
6/11/19,46.87
6/12/19,47.63
6/13/19,47.33
6/14/19,47.56
6/17/19,48.21
6/18/19,47.79
6/19/19,48.61
6/20/19,48.89
6/21/19,49.34
6/24/19,45.68
6/25/19,45.77
6/26/19,44.92
6/27/19,45.1
6/28/19,45.35
7/1/19,46.18
7/2/19,46.68
7/3/19,46.56
7/5/19,45.89
7/8/19,45.77
7/9/19,46.04
7/10/19,45.96
7/11/19,44.53
7/12/19,44.27
7/15/19,44.19
7/16/19,44.45
7/17/19,44.13
7/18/19,44.05
7/19/19,43.33
7/22/19,42.77
7/23/19,43.05
7/24/19,43.23
7/25/19,45.4
7/26/19,45.37
7/29/19,45.39
7/30/19,44.56
7/31/19,44.41
8/1/19,45.2
8/2/19,45.99
8/5/19,45.38
8/6/19,45.69
8/7/19,46.24
8/8/19,47.29
8/9/19,47.32
8/12/19,46.51
8/13/19,46.49
8/14/19,45.64
8/15/19,45.75
8/16/19,46.98
8/19/19,47.46
8/20/19,47.63
8/21/19,47.77
8/22/19,47.86
8/23/19,46.58
8/26/19,48.11
8/27/19,47.93
8/28/19,48.66
8/29/19,48.27
8/30/19,48.07
9/3/19,48.04
9/4/19,48.12
9/5/19,48.51
9/6/19,48.27
9/9/19,48.09
9/10/19,48.56
9/11/19,49.24
9/12/19,49.61
9/13/19,49.43
9/16/19,49.47
9/17/19,49.74
9/18/19,49.86
9/19/19,50.07
9/20/19,50.57
9/23/19,50.52
9/24/19,50.01
9/25/19,49.84
9/26/19,49.97
9/27/19,50.22
9/30/19,50.71
10/1/19,50.65
10/2/19,49.21
10/3/19,49.55
10/4/19,50.75
10/7/19,50.88
10/8/19,50.36
10/9/19,50.83
10/10/19,50.78
10/11/19,51.61
10/14/19,51.56
10/15/19,51.83
10/16/19,51.51
10/17/19,52.42
10/18/19,53.03
10/21/19,53.2
10/22/19,54.42
10/23/19,54.77
10/24/19,54.37
10/25/19,54.98
10/28/19,55.59
10/29/19,55.77
10/30/19,56.87
10/31/19,57.37
11/1/19,57.16
11/4/19,56.64
11/5/19,56.39
11/6/19,56.96
11/7/19,57.58
11/8/19,58.02
11/11/19,58.15
11/12/19,58.39
11/13/19,58.79
11/14/19,58.51
11/15/19,58.59
11/18/19,57.65
11/19/19,56.48
11/20/19,56.41
11/21/19,56.85
11/22/19,56.45
11/25/19,56.17
11/26/19,56.73
11/27/19,57.6
11/29/19,56.94
